x,y,z,created,thing
-29.0,4.0,35.0,2015-05-16 19:10:47.819000+00:00,tight-respect
-33.0,1.0,39.0,2015-05-16 19:10:47.820000+00:00,tight-respect
-35.0,13.0,1.0,2015-05-16 19:10:48.005000+00:00,tight-respect
-37.0,-5.0,24.0,2015-05-16 19:10:48.193000+00:00,tight-respect
-20.0,3.0,91.0,2015-05-16 19:10:49.616000+00:00,tight-respect
-25.0,2.0,49.0,2015-05-16 19:10:50.022000+00:00,tight-respect
-41.0,8.0,350.0,2015-05-16 19:10:52.025000+00:00,tight-respect
-31.0,1.0,24.0,2015-05-16 19:10:52.043000+00:00,tight-respect
-37.0,1.0,14.0,2015-05-16 19:10:53.207000+00:00,tight-respect
-32.0,2.0,15.0,2015-05-16 19:10:55.495000+00:00,tight-respect
-35.0,-4.0,31.0,2015-05-16 19:10:56.560000+00:00,tight-respect
-43.0,2.0,348.0,2015-05-16 19:10:58.617000+00:00,tight-respect
-35.0,2.0,141.0,2015-05-16 19:10:58.618000+00:00,tight-respect
-43.0,2.0,36.0,2015-05-16 19:10:59.248000+00:00,tight-respect
-45.0,3.0,37.0,2015-05-16 19:10:59.277000+00:00,tight-respect
-42.0,3.0,48.0,2015-05-16 19:11:00.240000+00:00,tight-respect
125.0,-7.0,70.0,2015-05-16 19:11:01.085000+00:00,tight-respect
-55.0,-17.0,34.0,2015-05-16 19:11:01.949000+00:00,tight-respect
-35.0,-3.0,33.0,2015-05-16 19:11:05.247000+00:00,tight-respect
-53.0,10.0,45.0,2015-05-16 19:11:05.376000+00:00,tight-respect
127.0,-34.0,252.0,2015-05-16 19:11:06.355000+00:00,tight-respect
-13.0,76.0,284.0,2015-05-16 19:11:06.367000+00:00,tight-respect
26.0,62.0,129.0,2015-05-16 19:11:06.892000+00:00,tight-respect
-19.0,62.0,64.0,2015-05-16 19:11:07.949000+00:00,tight-respect
-17.0,63.0,112.0,2015-05-16 19:11:08.978000+00:00,tight-respect
-23.0,66.0,29.0,2015-05-16 19:11:10.021000+00:00,tight-respect
6.0,55.0,123.0,2015-05-16 19:11:11.205000+00:00,tight-respect
-4.0,41.0,129.0,2015-05-16 19:11:11.955000+00:00,tight-respect
168.0,43.0,224.0,2015-05-16 19:11:12.954000+00:00,tight-respect
-160.0,53.0,306.0,2015-05-16 19:11:13.976000+00:00,tight-respect
24.0,36.0,123.0,2015-05-16 19:11:15.567000+00:00,tight-respect
-15.0,16.0,57.0,2015-05-16 19:11:16.007000+00:00,tight-respect
-20.0,31.0,21.0,2015-05-16 19:11:17.351000+00:00,tight-respect
-30.0,43.0,323.0,2015-05-16 19:11:18.337000+00:00,tight-respect
-27.0,57.0,40.0,2015-05-16 19:11:19.025000+00:00,tight-respect
-27.0,60.0,32.0,2015-05-16 19:11:19.929000+00:00,tight-respect
-18.0,51.0,67.0,2015-05-16 19:11:20.986000+00:00,tight-respect
-38.0,43.0,38.0,2015-05-16 19:11:22.151000+00:00,tight-respect
-46.0,12.0,55.0,2015-05-16 19:11:23.015000+00:00,tight-respect
-35.0,22.0,5.0,2015-05-16 19:11:23.959000+00:00,tight-respect
-27.0,16.0,34.0,2015-05-16 19:11:25.091000+00:00,tight-respect
-29.0,9.0,77.0,2015-05-16 19:11:25.943000+00:00,tight-respect
-23.0,4.0,45.0,2015-05-16 19:11:27.068000+00:00,tight-respect
-35.0,4.0,24.0,2015-05-16 19:11:27.971000+00:00,tight-respect
-37.0,-2.0,48.0,2015-05-16 19:11:29.110000+00:00,tight-respect
-33.0,3.0,29.0,2015-05-16 19:11:38.035000+00:00,tight-respect
-35.0,9.0,38.0,2015-05-16 19:11:40.378000+00:00,tight-respect
-38.0,3.0,19.0,2015-05-16 19:11:40.379000+00:00,tight-respect
-28.0,-3.0,45.0,2015-05-16 19:11:40.380000+00:00,tight-respect
-33.0,5.0,26.0,2015-05-16 19:11:41.013000+00:00,tight-respect
-48.0,32.0,343.0,2015-05-16 19:11:43.917000+00:00,tight-respect
-174.0,84.0,325.0,2015-05-16 19:11:43.965000+00:00,tight-respect
-39.0,3.0,94.0,2015-05-16 19:11:44.406000+00:00,tight-respect
-41.0,15.0,8.0,2015-05-16 19:11:44.410000+00:00,tight-respect
-42.0,3.0,38.0,2015-05-16 19:11:44.636000+00:00,tight-respect
-42.0,4.0,30.0,2015-05-16 19:11:44.640000+00:00,tight-respect
-36.0,5.0,40.0,2015-05-16 19:11:44.735000+00:00,tight-respect
-43.0,-3.0,34.0,2015-05-16 19:11:45.009000+00:00,tight-respect
-44.0,-6.0,24.0,2015-05-16 19:11:45.023000+00:00,tight-respect
-38.0,-3.0,35.0,2015-05-16 19:12:03.489000+00:00,tight-respect
-37.0,-5.0,35.0,2015-05-16 19:12:06.060000+00:00,tight-respect
-35.0,-3.0,23.0,2015-05-16 19:12:06.202000+00:00,tight-respect
-38.0,-11.0,32.0,2015-05-16 19:12:07.838000+00:00,tight-respect
-37.0,-8.0,17.0,2015-05-16 19:12:07.839000+00:00,tight-respect
-40.0,-10.0,27.0,2015-05-16 19:12:09.107000+00:00,tight-respect
-42.0,-4.0,24.0,2015-05-16 19:12:09.278000+00:00,tight-respect
-41.0,-2.0,18.0,2015-05-16 19:12:09.619000+00:00,tight-respect
-39.0,-12.0,33.0,2015-05-16 19:12:09.976000+00:00,tight-respect
-44.0,-5.0,22.0,2015-05-16 19:12:10.448000+00:00,tight-respect
-40.0,-13.0,49.0,2015-05-16 19:12:10.506000+00:00,tight-respect
-24.0,-5.0,29.0,2015-05-16 19:12:10.622000+00:00,tight-respect
-23.0,6.0,8.0,2015-05-16 19:12:10.812000+00:00,tight-respect
-26.0,3.0,13.0,2015-05-16 19:12:10.813000+00:00,tight-respect
-26.0,4.0,10.0,2015-05-16 19:12:11.102000+00:00,tight-respect
-27.0,3.0,19.0,2015-05-16 19:12:11.167000+00:00,tight-respect
-30.0,13.0,5.0,2015-05-16 19:12:11.260000+00:00,tight-respect
-28.0,9.0,11.0,2015-05-16 19:12:11.262000+00:00,tight-respect
-27.0,8.0,16.0,2015-05-16 19:12:11.263000+00:00,tight-respect
-30.0,7.0,18.0,2015-05-16 19:12:11.302000+00:00,tight-respect
-28.0,10.0,13.0,2015-05-16 19:12:11.385000+00:00,tight-respect
-28.0,6.0,19.0,2015-05-16 19:12:11.408000+00:00,tight-respect
-28.0,5.0,18.0,2015-05-16 19:12:11.408000+00:00,tight-respect
-26.0,6.0,18.0,2015-05-16 19:12:11.437000+00:00,tight-respect
-31.0,10.0,16.0,2015-05-16 19:12:11.482000+00:00,tight-respect
-30.0,8.0,18.0,2015-05-16 19:12:11.484000+00:00,tight-respect
-27.0,11.0,22.0,2015-05-16 19:12:11.486000+00:00,tight-respect
-25.0,12.0,19.0,2015-05-16 19:12:11.529000+00:00,tight-respect
-26.0,9.0,30.0,2015-05-16 19:12:11.975000+00:00,tight-respect
-31.0,6.0,24.0,2015-05-16 19:12:12.943000+00:00,tight-respect
-36.0,-17.0,64.0,2015-05-16 19:12:13.963000+00:00,tight-respect
-40.0,-4.0,39.0,2015-05-16 19:12:15.138000+00:00,tight-respect
-32.0,-18.0,57.0,2015-05-16 19:12:15.970000+00:00,tight-respect
-28.0,-2.0,55.0,2015-05-16 19:12:16.951000+00:00,tight-respect
-42.0,-9.0,42.0,2015-05-16 19:12:17.951000+00:00,tight-respect
-37.0,-4.0,18.0,2015-05-16 19:12:18.957000+00:00,tight-respect
-36.0,-11.0,26.0,2015-05-16 19:12:20.007000+00:00,tight-respect
-36.0,-14.0,27.0,2015-05-16 19:12:20.945000+00:00,tight-respect
-44.0,-4.0,18.0,2015-05-16 19:12:21.944000+00:00,tight-respect
-50.0,3.0,23.0,2015-05-16 19:12:22.981000+00:00,tight-respect
-41.0,-8.0,37.0,2015-05-16 19:12:24.009000+00:00,tight-respect
-31.0,4.0,23.0,2015-05-16 19:12:24.955000+00:00,tight-respect
-33.0,-3.0,25.0,2015-05-16 19:12:25.965000+00:00,tight-respect
-36.0,-7.0,28.0,2015-05-16 19:12:27.085000+00:00,tight-respect
-35.0,2.0,11.0,2015-05-16 19:12:27.959000+00:00,tight-respect
-30.0,2.0,20.0,2015-05-16 19:12:29.017000+00:00,tight-respect
-34.0,21.0,32.0,2015-05-16 19:12:29.938000+00:00,tight-respect
-39.0,11.0,45.0,2015-05-16 19:12:30.950000+00:00,tight-respect
-38.0,-3.0,57.0,2015-05-16 19:12:32.911000+00:00,tight-respect
-40.0,-4.0,52.0,2015-05-16 19:12:32.947000+00:00,tight-respect
-47.0,3.0,42.0,2015-05-16 19:12:34.167000+00:00,tight-respect
-33.0,-11.0,68.0,2015-05-16 19:12:35.862000+00:00,tight-respect
-33.0,4.0,52.0,2015-05-16 19:12:37.166000+00:00,tight-respect
-32.0,2.0,57.0,2015-05-16 19:12:37.342000+00:00,tight-respect
-36.0,-2.0,51.0,2015-05-16 19:12:38.079000+00:00,tight-respect
-32.0,2.0,52.0,2015-05-16 19:12:38.937000+00:00,tight-respect
-30.0,-4.0,60.0,2015-05-16 19:12:40.054000+00:00,tight-respect
-35.0,8.0,45.0,2015-05-16 19:12:41.480000+00:00,tight-respect
-32.0,-3.0,67.0,2015-05-16 19:12:42.261000+00:00,tight-respect
-48.0,6.0,77.0,2015-05-16 19:12:43.097000+00:00,tight-respect
-47.0,5.0,35.0,2015-05-16 19:12:43.948000+00:00,tight-respect
-49.0,-3.0,47.0,2015-05-16 19:12:44.947000+00:00,tight-respect
-46.0,-4.0,55.0,2015-05-16 19:12:45.970000+00:00,tight-respect
-41.0,1.0,44.0,2015-05-16 19:12:46.950000+00:00,tight-respect
-41.0,5.0,23.0,2015-05-16 19:12:47.960000+00:00,tight-respect
-50.0,1.0,28.0,2015-05-16 19:12:48.942000+00:00,tight-respect
-48.0,2.0,36.0,2015-05-16 19:12:49.941000+00:00,tight-respect
-49.0,-6.0,49.0,2015-05-16 19:12:51.156000+00:00,tight-respect
-50.0,-1.0,39.0,2015-05-16 19:12:51.974000+00:00,tight-respect
-44.0,-6.0,42.0,2015-05-16 19:12:53.064000+00:00,tight-respect
-32.0,-7.0,90.0,2015-05-16 19:12:53.986000+00:00,tight-respect
-42.0,-4.0,36.0,2015-05-16 19:12:54.943000+00:00,tight-respect
-44.0,-3.0,42.0,2015-05-16 19:12:55.950000+00:00,tight-respect
-45.0,-5.0,36.0,2015-05-16 19:12:56.963000+00:00,tight-respect
-44.0,-9.0,46.0,2015-05-16 19:12:57.960000+00:00,tight-respect
-44.0,-5.0,43.0,2015-05-16 19:12:58.950000+00:00,tight-respect
-53.0,-6.0,42.0,2015-05-16 19:12:59.947000+00:00,tight-respect
-52.0,-7.0,47.0,2015-05-16 19:13:00.970000+00:00,tight-respect
-40.0,-5.0,58.0,2015-05-16 19:13:02.057000+00:00,tight-respect
-39.0,-7.0,50.0,2015-05-16 19:13:02.957000+00:00,tight-respect
-45.0,4.0,37.0,2015-05-16 19:13:14.943000+00:00,tight-respect
-44.0,-4.0,57.0,2015-05-16 19:13:15.997000+00:00,tight-respect
