athlete,hour,minute,x_a,y_a,z_a,diff_x_a,diff_y_a,diff_z_a,second_a
Mike,10,39,-51,69,197,4,1,-2,50
Mike,10,40,-51,49,100,4,1,0,58
Mike,10,41,-49,70,311,-2,0,1,41
Mike,10,42,-52,85,190,-2,0,-1,58
Mike,10,43,-40,89,133,-5,1,0,58
Mike,10,44,-58,83,125,-2,0,-2,45
Mike,10,45,-54,61,355,0,0,0,36
Mike,10,46,-40,81,148,4,0,1,44
Mike,10,47,-54,72,169,4,0,0,32
Mike,10,48,-42,86,283,-2,-1,1,50
Mike,10,49,-55,53,211,0,-1,-2,34
Mike,10,50,-59,44,233,1,1,-1,52
Mike,10,51,-42,58,148,5,-1,1,54
Mike,10,52,-42,54,162,-3,0,-2,37
Mike,10,53,-54,69,302,5,0,-2,44
Mike,10,54,-52,54,378,-2,0,0,30
Mike,10,55,-49,53,124,3,0,-1,42
Mike,10,56,-60,60,163,4,0,-1,34
Mike,10,57,-54,89,327,4,0,2,59
Mike,10,58,-55,51,313,-1,-1,1,38
Mike,10,59,-43,49,342,-3,0,-1,56
Mike,10,60,-50,41,335,3,0,-2,47
Mike,11,1,-59,68,288,-1,1,2,37
Mike,11,2,-60,79,184,-4,-1,-2,41
Mike,11,3,-58,42,181,4,0,0,48
Mike,11,4,-47,56,249,4,1,-2,38
Mike,11,5,-60,63,333,-1,-1,2,31
Mike,11,6,-46,86,234,2,-1,0,55
Mike,11,7,-50,78,386,-4,1,0,30
Mike,11,8,-56,58,117,2,0,0,42
Mike,11,9,-48,88,237,2,0,0,31
Mike,11,10,-48,48,319,5,-1,-2,34
Mike,11,11,-57,53,257,-1,0,-1,59
Mike,11,12,-59,87,197,3,-1,-1,37
Mike,11,13,-58,44,202,-4,-1,0,30
Mike,11,14,-48,64,333,-5,1,-1,53
Mike,11,15,-48,81,205,-2,1,2,30
Mike,11,16,-40,72,264,-5,0,0,57
Mike,11,17,-55,63,167,-1,0,-2,44
Mike,11,18,-50,80,320,1,0,-1,47
Mike,11,19,-52,81,235,3,-1,-2,57
Mike,11,20,-44,45,378,-3,0,0,43
Mike,11,21,-60,61,374,5,1,1,45
Mike,11,22,-58,52,178,0,0,0,31
Mike,11,23,-53,87,160,0,-1,1,33
Mike,11,24,-46,53,204,2,-1,-1,32
Mike,11,25,-54,62,164,1,-1,2,49
Mike,11,26,-41,80,371,4,0,1,39
Mike,11,27,-56,48,220,-1,1,1,40
Mike,11,28,-52,77,151,5,-1,-1,34
Mike,11,29,-56,83,313,5,0,-2,34
Mike,11,30,-53,71,240,0,1,-2,60
Mike,11,31,-54,42,196,2,1,1,31
Mike,11,32,-51,53,104,1,0,2,55
Mike,11,33,-60,58,396,-3,-1,-2,58
Mike,11,34,-60,82,318,-3,-1,1,43
Mike,11,35,-46,75,390,-4,1,-2,33
Mike,11,36,-56,77,208,4,0,0,34
Mike,11,37,-47,76,315,-1,0,0,54
Mike,11,38,-48,90,264,4,0,0,58
Mike,11,39,-54,40,167,-4,0,2,36
Mike,11,40,-48,55,289,-2,0,-2,40
Mike,11,41,-41,66,124,5,0,-2,37
Mike,11,42,-47,83,255,3,0,2,49
Mike,11,43,-46,67,203,2,-1,2,33
Mike,11,44,-59,86,159,4,-1,-1,47
Mike,11,45,-54,44,234,1,-1,-2,43
Mike,11,46,-47,55,283,-2,0,0,35
Mike,11,47,-44,50,244,3,0,2,46
Mike,11,48,-40,79,262,-1,-1,-2,33
Mike,11,49,-45,78,286,4,-1,-2,46
Mike,11,50,-57,82,272,0,0,-2,52
Mike,11,51,-43,43,151,-2,-1,-1,39
Mike,11,52,-52,75,151,-3,0,2,33
Mike,11,53,-44,80,274,5,0,0,39
Mike,11,54,-53,72,113,4,0,2,40
Mike,11,55,-53,58,339,-3,-1,1,37
Mike,11,56,-42,47,332,-5,1,2,38
Mike,11,57,-43,59,199,-1,1,1,40
Mike,11,58,-49,82,384,-3,-1,-1,59
Mike,11,59,-47,47,154,1,0,-1,52
Mike,11,60,-45,65,303,5,-1,-1,58
Mike,12,1,-58,63,191,4,-1,-1,50
Mike,12,2,-58,75,159,-1,-1,1,58
Mike,12,3,-48,46,281,-4,-1,-1,59
Mike,12,4,-52,75,336,-3,0,0,31
Mike,12,5,-60,75,238,-4,1,-2,59
Mike,12,6,-56,89,344,-5,-1,-2,38
Mike,12,7,-57,71,280,0,0,1,57
Mike,12,8,-60,61,118,-4,0,-2,33
Mike,12,9,-45,44,279,1,0,2,40
Mike,12,10,-42,71,288,2,-1,-2,41
Mike,12,11,-59,58,343,-5,0,0,42
Mike,12,12,-50,58,346,-5,0,1,47
Mike,12,13,-54,46,212,-2,0,-2,39
Mike,12,14,-41,80,316,-1,-1,-1,45
Mike,12,15,-42,59,271,5,-1,0,43
Mike,12,16,-43,45,303,-1,-1,0,58
Mike,12,17,-43,77,155,4,0,0,39
Mike,12,18,-48,87,336,2,1,1,45
Mike,12,19,-56,46,237,-1,1,0,34
Mike,12,20,-46,70,251,1,0,2,30
Mike,12,21,-42,71,180,-3,1,1,47
Mike,12,22,-43,63,276,3,-1,2,47
Mike,12,23,-55,90,310,2,1,-2,44
Mike,12,24,-52,72,142,-4,-1,1,50
Mike,12,25,-59,66,142,3,-1,0,30
Mike,12,26,-55,80,185,3,-1,1,48
Mike,12,27,-56,40,243,3,0,2,50
Mike,12,28,-54,59,233,-5,-1,-1,33
Mike,12,29,-48,51,246,-1,-1,1,30
Mike,12,30,-58,61,355,0,1,1,53
Mike,12,31,-46,69,313,4,1,-2,51
Mike,12,32,-42,64,145,1,1,1,51
Mike,12,33,-46,71,117,3,0,-2,45
Mike,12,34,-59,44,210,3,0,0,37
Mike,12,35,-54,52,144,0,0,2,34
Mike,12,36,-40,56,183,1,-1,1,43
Mike,12,37,-57,51,290,5,-1,2,44
Mike,12,38,-57,62,280,3,0,0,43
Mike,12,39,-59,90,306,-1,0,-1,55
Mike,12,40,-54,50,132,0,0,-2,50
Mike,12,41,-47,80,311,3,-1,-1,50
Mike,12,42,-59,70,243,-4,1,-1,48
Mike,12,43,-56,45,365,-5,1,2,41
Mike,12,44,-44,42,362,5,0,2,48
Mike,12,45,-49,48,193,-4,1,-2,42
Mike,12,46,-52,46,294,0,1,-2,32
Mike,12,47,-60,85,263,-1,0,-2,44
Mike,12,48,-42,59,328,-5,1,1,31
Mike,12,49,-41,88,361,-2,0,-1,47
Mike,12,50,-45,84,192,-4,1,-1,30
Mike,12,51,-55,69,118,1,-1,-1,57
Mike,12,52,-58,64,241,-1,0,-1,47
Mike,12,53,-43,81,298,-5,-1,2,60
Mike,12,54,-58,47,347,0,-1,0,40
Mike,12,55,-50,43,131,3,-1,-1,42
Mike,12,56,-51,80,185,-1,1,-2,46
Mike,12,57,-57,59,397,-4,1,1,38
Mike,12,58,-48,66,119,1,-1,0,32
Mike,12,59,-60,76,346,4,-1,-2,42
Mike,12,60,-43,84,139,0,-1,1,40
Mike,13,1,-59,72,177,-5,0,-1,46
Mike,13,2,-46,60,233,-3,-1,-1,57
Mike,13,3,-53,44,387,-1,0,-2,36
Mike,13,4,-58,54,177,-3,0,2,33
Mike,13,5,-41,52,152,3,1,0,30
Mike,13,6,-45,82,189,-1,1,0,30
Mike,13,7,-53,80,226,-1,1,0,49
Mike,13,8,-49,54,221,-4,1,2,53
Mike,13,9,-59,87,100,4,1,-2,40
Mike,13,10,-40,87,106,-2,-1,0,43
Mike,13,11,-43,90,355,4,1,1,51
Mike,13,12,-55,57,336,2,-1,-1,37
Mike,13,13,-42,69,163,1,0,-1,44
Mike,13,14,-45,74,232,2,0,0,35
Mike,13,15,-59,90,123,4,0,0,34
Mike,13,16,-43,89,198,-4,-1,-1,56
Mike,13,17,-40,48,323,-5,0,0,35
Mike,13,18,-55,82,356,-2,1,-2,58
Mike,13,19,-40,50,388,3,0,2,41
Mike,13,20,-48,50,101,-2,0,0,30
Mike,13,21,-56,72,340,0,-1,-2,48
Mike,13,22,-56,49,184,2,1,1,49
Mike,13,23,-53,89,397,5,1,0,51
Mike,13,24,-54,67,159,-2,0,0,57
Mike,13,25,-43,84,176,-3,0,-1,43
Mike,13,26,-44,82,243,5,0,-2,36
Mike,13,27,-60,77,353,3,0,-1,51
Mike,13,28,-47,41,124,3,0,1,31
Mike,13,29,-51,74,366,-2,-1,1,53
Mike,13,30,-52,54,326,4,1,-2,31
Mike,13,31,-53,65,316,4,1,1,31
Mike,13,32,-52,46,373,1,0,-2,46
Mike,13,33,-51,64,337,1,-1,0,31
Mike,13,34,-54,58,258,1,-1,1,34
Mike,13,35,-49,78,117,4,1,2,44
Mike,13,36,-53,79,258,-1,-1,2,55
Mike,13,37,-53,75,237,2,0,-1,59
Mike,13,38,-43,74,389,1,1,1,49
Mike,13,39,-41,76,256,0,-1,1,41
Mike,13,40,-58,45,230,-1,-1,-2,32
Mike,13,41,-54,61,251,5,-1,-2,50
Mike,13,42,-43,63,375,-3,0,0,36
Mike,13,43,-50,49,359,-2,-1,2,36
Mike,13,44,-46,80,110,0,0,-2,49
Mike,13,45,-43,55,364,-1,0,-1,34
Mike,13,46,-57,46,291,1,1,-1,54
Mike,13,47,-45,61,209,-4,1,1,51
Mike,13,48,-45,65,367,4,1,-1,58
Mike,13,49,-48,40,399,2,-1,-1,57
Mike,13,50,-46,41,198,5,0,1,54
Mike,13,51,-42,46,341,5,1,1,54
Mike,13,52,-60,40,166,-3,-1,0,57
Mike,13,53,-56,54,383,1,0,-1,52
Mike,13,54,-47,80,138,-4,0,1,44
Mike,13,55,-56,44,242,-3,-1,0,60
Mike,13,56,-59,65,164,-5,-1,1,48
Mike,13,57,-53,56,192,1,-1,-1,45
Mike,13,58,-52,78,229,0,0,-1,38
Mike,13,59,-50,83,141,-5,1,1,53
Mike,13,60,-54,69,205,-5,-1,2,35
Mike,14,1,-56,67,121,-4,0,-2,33
Mike,14,2,-46,41,146,5,-1,0,56
Mike,14,3,-43,88,191,-1,0,-1,41
Mike,14,4,-50,63,201,1,1,0,52
Mike,14,5,-46,43,142,0,0,-2,33
Mike,14,6,-40,84,208,5,1,2,38
Mike,14,7,-59,79,182,3,-1,0,54
Mike,14,8,-54,56,263,-4,1,2,54
Mike,14,9,-45,47,142,-4,1,-2,35
Mike,14,10,-43,57,301,4,-1,0,35
Mike,14,11,-46,66,237,1,-1,2,31
Mike,14,12,-50,46,364,5,0,-2,52
Mike,14,13,-48,71,336,-2,0,-2,57
Mike,14,14,-53,59,227,4,0,1,53
Mike,14,15,-45,90,368,-5,0,-1,37
Mike,14,16,-48,67,131,-4,0,1,56
Mike,14,17,-57,58,395,3,0,0,48
Mike,14,18,-55,85,261,-5,-1,1,32
Mike,14,19,-48,41,399,-2,1,0,59
Mike,14,20,-57,69,125,4,0,2,43
Mike,14,21,-41,71,286,-2,0,2,52
Mike,14,22,-48,68,278,3,-1,-2,35
Mike,14,23,-59,44,176,1,0,-1,39
Mike,14,24,-47,75,331,-2,0,-1,52
Mike,14,25,-53,80,139,1,0,0,34
Mike,14,26,-51,83,372,3,-1,2,50
Mike,14,27,-48,73,212,0,1,-1,59
Mike,14,28,-44,87,313,-5,-1,1,59
Mike,14,29,-44,69,380,2,1,2,55
Mike,14,30,-52,76,301,-3,-1,2,34
Mike,14,31,-47,40,217,-4,1,-1,53
Mike,14,32,-52,55,135,5,0,-2,37
Mike,14,33,-54,72,310,-1,1,0,30
Mike,14,34,-57,73,399,1,1,2,31
Mike,14,35,-51,74,253,0,-1,-1,37
Mike,14,36,-58,53,316,-1,1,1,37
Mike,14,37,-50,73,153,4,-1,-2,60
Mike,14,38,-41,53,296,-1,0,-1,49
Mike,14,39,-46,67,339,-4,-1,-1,60
Mike,14,40,-53,87,320,-4,1,-2,59
Mike,14,41,-53,71,221,-3,1,0,47
Mike,14,42,-47,47,318,3,1,0,39
Mike,14,43,-56,65,109,0,1,0,55
Mike,14,44,-53,65,306,4,-1,-1,54
Mike,14,45,-57,79,215,-5,1,0,36
Mike,14,46,-57,77,257,-2,0,0,48
Mike,14,47,-40,45,120,-2,1,-1,30
Mike,14,48,-52,56,254,-4,-1,-1,37
Mike,14,49,-51,49,266,-1,-1,2,57
Mike,14,50,-40,46,342,1,0,1,36
Mike,14,51,-46,58,159,4,1,-2,59
Mike,14,52,-46,81,312,3,1,2,49
Mike,14,53,-58,47,101,2,-1,1,49
Mike,14,54,-48,72,251,-2,-1,2,52
Mike,14,55,-45,84,386,5,0,-1,30
Mike,14,56,-54,43,303,0,-1,1,49
Mike,14,57,-56,41,340,3,0,-1,36
Mike,14,58,-57,87,358,-5,0,2,56
Mike,14,59,-48,66,234,-5,0,-1,33
Mike,14,60,-59,58,335,2,-1,0,30
Mike,15,1,-42,62,187,-2,-1,-2,41
Mike,15,2,-47,89,220,-4,-1,-1,48
Mike,15,3,-58,41,333,5,0,0,51
Mike,15,4,-47,63,334,-5,1,1,42
Mike,15,5,-53,47,168,1,0,-2,30
Mike,15,6,-46,69,364,5,1,1,50
Mike,15,7,-41,57,232,5,1,-1,47
Mike,15,8,-56,41,298,-1,0,2,56
Mike,15,9,-46,90,231,4,-1,1,31
Mike,15,10,-60,74,356,0,-1,-1,43
Mike,15,11,-41,71,141,-4,0,2,33
Mike,15,12,-49,53,124,-3,1,2,45
Mike,15,13,-47,54,299,-2,0,1,43
Mike,15,14,-51,74,188,-5,-1,-2,46
Mike,15,15,-53,42,138,-3,0,-1,30
Mike,15,16,-51,72,271,-2,-1,0,33
Mike,15,17,-60,87,388,-1,-1,0,59
Mike,15,18,-42,58,354,-2,1,-2,59
Mike,15,19,-49,59,325,1,-1,2,52
Mike,15,20,-44,65,133,3,-1,2,40
Mike,15,21,-53,63,358,-2,-1,2,40
Mike,15,22,-59,69,323,-3,0,-2,57
Mike,15,23,-49,85,224,-2,0,2,56
Mike,15,24,-54,53,316,-5,1,1,36
Mike,15,25,-50,42,147,-1,0,1,41
Mike,15,26,-50,44,355,-5,1,-2,56
Mike,15,27,-58,67,383,5,-1,1,58
Mike,15,28,-47,76,245,-1,1,-1,33
Mike,15,29,-46,59,272,-4,0,-2,48
Mike,15,30,-45,89,121,-2,0,2,34
Mike,15,31,-40,40,189,-5,0,-2,40
Mike,15,32,-54,61,197,4,1,0,48
Mike,15,33,-42,57,217,0,-1,-2,32
Mike,15,34,-56,83,310,3,0,-2,49
Mike,15,35,-57,68,277,-1,1,-1,44
Mike,15,36,-42,78,100,2,1,1,40
Mike,15,37,-46,85,173,-4,-1,1,32
Mike,15,38,-59,56,222,4,1,-1,55
Mike,15,39,-49,40,361,0,1,2,60
Mike,15,40,-47,64,226,5,0,2,30
Mike,15,41,-51,50,110,-3,1,1,38
Mike,15,42,-46,74,296,1,1,2,37
Mike,15,43,-42,52,224,4,-1,0,33
Mike,15,44,-60,82,390,3,-1,1,42
Mike,15,45,-52,68,171,4,-1,-2,59
Mike,15,46,-45,81,289,2,0,0,53
Mike,15,47,-57,74,115,-3,-1,-1,31
Mike,15,48,-56,59,251,2,-1,1,46
Mike,15,49,-52,49,283,1,-1,2,49
Mike,15,50,-47,63,239,3,-1,-2,30
Mike,15,51,-56,48,287,-4,-1,2,42
Mike,15,52,-59,66,253,5,0,2,51
Mike,15,53,-44,41,392,5,0,-1,30
Mike,15,54,-44,79,240,5,-1,0,33
Mike,15,55,-55,55,197,5,-1,1,50
Mike,15,56,-46,45,293,5,1,1,34
Mike,15,57,-56,72,121,-1,1,2,35
Mike,15,58,-48,80,215,0,0,0,53
Mike,15,59,-50,44,335,4,-1,-2,37
Mike,15,60,-46,49,215,-4,0,2,47
Mike,16,1,-55,58,122,4,0,1,52
Mike,16,2,-46,47,230,0,1,-2,33
Mike,16,3,-49,46,182,1,1,2,34
Mike,16,4,-57,85,197,4,0,-2,54
Mike,16,5,-41,58,103,-4,0,-2,53
Mike,16,6,-42,86,141,5,1,2,48
Mike,16,7,-57,73,255,-3,1,2,52
Mike,16,8,-42,53,384,3,1,1,41
Mike,16,9,-42,71,289,4,0,1,60
Mike,16,10,-57,73,223,-4,-1,-1,39
Mike,16,11,-41,64,265,3,-1,2,39
Mike,16,12,-53,45,221,2,1,-1,34
Mike,16,13,-57,71,287,-1,-1,2,56
Mike,16,14,-58,86,192,3,-1,-2,42
Mike,16,15,-50,61,191,-2,0,0,44
Mike,16,16,-42,66,119,-3,1,-2,55
Mike,16,17,-49,88,302,-5,-1,-1,38
Mike,16,18,-51,90,122,-5,0,0,56
Mike,16,19,-57,64,315,-5,0,2,33
Mike,16,20,-47,64,185,3,-1,-1,34
Mike,16,21,-58,89,158,-2,1,-2,38
Mike,16,22,-55,90,393,4,-1,-2,56
Mike,16,23,-50,44,297,-2,0,0,45
Mike,16,24,-60,55,313,3,0,-2,52
Mike,16,25,-60,58,331,-5,1,0,40
Mike,16,26,-49,70,234,5,0,2,54
Mike,16,27,-43,66,204,2,-1,2,36
Mike,16,28,-43,47,321,5,-1,0,45
Mike,16,29,-54,76,230,2,-1,2,40
Mike,16,30,-45,69,161,2,-1,1,59
Mike,16,31,-43,45,270,4,1,-1,34
Mike,16,32,-53,60,105,5,-1,0,40
Mike,16,33,-43,54,285,4,1,0,42
Mike,16,34,-48,41,134,-4,-1,1,53
Mike,16,35,-58,68,173,0,0,2,42
Mike,16,36,-56,43,342,-3,-1,1,50
Mike,16,37,-55,62,204,-2,1,2,52
Mike,16,38,-53,82,313,-5,0,-1,50
Mike,16,39,-45,60,131,4,-1,2,34
Mike,16,40,-50,59,287,1,-1,-1,43
Mike,16,41,-52,59,225,-2,1,-1,41
Mike,16,42,-44,69,391,2,0,2,47
Mike,16,43,-40,49,296,-5,0,1,47
Mike,16,44,-40,81,302,-3,1,-1,55
Mike,16,45,-52,76,105,-3,0,1,54
Mike,16,46,-48,51,356,3,-1,1,53
Mike,16,47,-55,78,232,-5,-1,1,38
Mike,16,48,-49,88,200,-3,1,-2,53
Mike,16,49,-56,85,337,2,0,1,53
Mike,16,50,-54,63,346,4,-1,1,36
Mike,16,51,-57,60,147,-5,-1,2,54
Mike,16,52,-50,84,144,-3,-1,0,40
Mike,16,53,-40,41,248,-1,0,2,43
Mike,16,54,-57,84,220,3,1,-2,48
Mike,16,55,-49,66,176,3,0,2,56
Mike,16,56,-52,44,147,-5,1,-1,31
Mike,16,57,-47,71,269,4,0,-1,40
Mike,16,58,-41,63,331,-5,1,1,57
Mike,16,59,-44,54,165,-4,0,2,34
Mike,16,60,-44,55,218,2,-1,1,46
Mike,17,1,-40,52,105,-4,0,-1,50
Mike,17,2,-55,87,114,1,1,1,50
Mike,17,3,-52,79,218,1,-1,2,36
Mike,17,4,-45,77,347,-2,0,1,48
Mike,17,5,-52,81,131,-4,-1,-2,40
Mike,17,6,-56,71,362,4,0,0,34
Mike,17,7,-57,60,170,0,-1,2,49
Mike,17,8,-59,72,240,-4,-1,-1,51
Mike,17,9,-60,59,375,-2,0,-2,31
Mike,17,10,-49,72,252,0,-1,0,33
Mike,17,11,-41,40,333,-4,0,-2,39
Mike,17,12,-40,70,116,1,1,-1,33
Mike,17,13,-42,78,381,-4,-1,1,30
Mike,17,14,-57,80,311,2,1,0,31
Mike,17,15,-46,46,250,5,0,-1,48
Mike,17,16,-55,80,310,1,-1,-1,40
Mike,17,17,-59,75,189,4,1,1,40
Mike,17,18,-45,86,134,-4,1,0,54
Mike,17,19,-40,74,257,-3,0,1,58
Mike,17,20,-50,84,241,-5,0,0,47
Mike,17,21,-49,72,209,5,0,0,55
Mike,17,22,-43,74,335,2,-1,-1,43
Mike,17,23,-44,43,285,-4,-1,0,52
Mike,17,24,-50,53,189,3,-1,1,34
Mike,17,25,-47,75,386,-4,1,-1,60
Mike,17,26,-52,56,342,4,0,-2,54
Mike,17,27,-53,52,379,0,1,2,53
Mike,17,28,-47,83,209,0,0,2,36
Mike,17,29,-50,71,140,5,1,2,59
Mike,17,30,-58,45,247,5,0,0,40
Mike,17,31,-42,90,182,-2,0,-1,59
Mike,17,32,-49,41,192,1,1,2,46
Mike,17,33,-57,40,181,-3,0,0,41
Mike,17,34,-60,53,339,-2,1,-2,38
Mike,17,35,-54,55,111,2,1,-2,39
Mike,17,36,-56,47,196,3,0,1,39
Mike,17,37,-57,45,263,-1,-1,0,54
Mike,17,38,-49,89,379,-4,1,0,34
Mike,17,39,-45,58,304,0,1,1,38
Mike,17,40,-54,53,160,1,0,2,42
Mike,17,41,-59,56,370,5,0,-1,44
Mike,17,42,-46,69,301,-4,-1,2,30
Mike,17,43,-58,48,302,-2,0,-2,57
Mike,17,44,-53,81,367,3,-1,2,37
Mike,17,45,-40,86,101,-3,-1,-2,31
Mike,17,46,-41,72,192,2,0,-2,44
Mike,17,47,-58,67,388,0,-1,2,48
Mike,17,48,-60,41,230,0,0,1,49
Mike,17,49,-60,56,132,-1,1,-2,40
Mike,17,50,-44,74,240,0,1,0,40
Mike,17,51,-40,43,193,-2,1,-1,36
Mike,17,52,-40,40,388,-3,1,0,54
Mike,17,53,-56,40,334,5,-1,2,40
Mike,17,54,-47,85,205,3,0,0,48
Mike,17,55,-40,50,243,2,-1,1,32
Mike,17,56,-52,50,369,0,1,-1,58
Mike,17,57,-51,71,131,1,1,-1,43
Mike,17,58,-45,53,337,0,0,0,35
Mike,17,59,-44,41,269,-3,-1,2,37
Mike,17,60,-55,71,339,-4,0,-2,48
Mike,18,1,-50,90,295,5,0,-2,50
Mike,18,2,-42,68,247,0,1,2,37
Mike,18,3,-40,80,320,5,1,-2,43
Mike,18,4,-41,79,247,2,1,0,52
Mike,18,5,-53,77,204,2,1,-1,38
Mike,18,6,-41,58,333,-4,0,-1,41
Mike,18,7,-60,82,279,-2,0,1,32
Mike,18,8,-40,69,327,2,-1,2,59
Mike,18,9,-44,69,176,-2,0,2,36
Mike,18,10,-60,49,184,-5,0,1,40
Mike,18,11,-58,55,243,2,-1,-1,46
Mike,18,12,-57,56,345,5,-1,-2,43
Mike,18,13,-49,68,105,-3,1,2,37
Mike,18,14,-44,76,356,-4,-1,1,46
Mike,18,15,-40,44,148,2,1,2,52
Mike,18,16,-44,80,201,5,1,-2,36
Mike,18,17,-40,50,120,4,-1,1,45
Mike,18,18,-42,44,219,3,1,-2,53
Mike,18,19,-56,56,201,-1,0,-1,46
Mike,18,20,-56,56,268,-2,1,2,30
Mike,18,21,-46,65,123,-2,-1,-2,45
Mike,18,22,-43,68,117,0,1,2,46
Mike,18,23,-52,46,160,2,-1,-2,60
Mike,18,24,-41,84,273,-5,-1,2,37
Mike,18,25,-45,51,371,1,1,0,57
Mike,18,26,-46,64,294,5,0,2,56
Mike,18,27,-54,65,394,5,-1,-2,44
Mike,18,28,-48,47,125,1,-1,0,44
Mike,18,29,-54,59,297,0,0,-1,48
Mike,18,30,-42,79,241,-5,0,1,35
Mike,18,31,-42,45,182,-1,-1,2,59
Mike,18,32,-49,84,378,-4,0,1,42
Mike,18,33,-45,67,367,-4,0,1,49
Mike,18,34,-52,44,152,3,-1,1,45
Mike,18,35,-40,64,255,-5,0,-1,50
Mike,18,36,-57,53,127,-5,1,2,56
Mike,18,37,-50,64,364,-3,0,-1,57
Mike,18,38,-40,43,371,-3,0,1,52
Mike,18,39,-49,57,300,4,-1,-1,31
Mike,18,40,-48,80,180,1,-1,-2,46
Mike,18,41,-50,49,218,5,-1,2,32
Mike,18,42,-45,57,128,0,1,-2,60
Mike,18,43,-47,43,268,-3,0,-1,41
Mike,18,44,-53,55,331,-5,-1,-2,36
Mike,18,45,-42,46,356,-4,0,2,57
Mike,18,46,-56,76,336,-1,-1,-1,33
Mike,18,47,-52,47,203,1,-1,0,34
Mike,18,48,-46,48,259,-2,0,2,33
Mike,18,49,-45,56,376,-2,1,-2,45
Mike,18,50,-54,62,267,-2,-1,-2,38
Mike,18,51,-51,45,299,3,1,1,36
Mike,18,52,-55,87,167,5,1,2,40
Mike,18,53,-51,40,166,3,1,0,53
Mike,18,54,-48,48,217,4,0,0,57
Mike,18,55,-51,85,175,-4,1,1,31
Mike,18,56,-54,45,174,-2,1,0,58
Mike,18,57,-58,58,282,-4,-1,0,40
Mike,18,58,-43,70,251,-1,-1,-1,47
Mike,18,59,-51,56,313,-5,1,-2,30
Mike,18,60,-59,74,389,-3,-1,-2,31
Mike,19,1,-42,76,256,2,0,-1,55
Mike,19,2,-56,50,304,5,1,0,46
Mike,19,3,-56,41,218,-4,0,1,31
Mike,19,4,-55,73,333,0,0,1,55
Mike,19,5,-46,65,141,5,0,-1,48
Mike,19,6,-58,83,132,-4,1,2,57
Mike,19,7,-59,63,326,0,1,0,30
Mike,19,8,-55,47,182,2,-1,0,58
Mike,19,9,-50,42,330,-2,1,1,56
Mike,19,10,-40,57,300,-1,0,1,49
Mike,19,11,-47,75,322,4,1,0,36
Mike,19,12,-48,74,187,4,0,1,49
Mike,19,13,-56,73,382,-4,-1,1,52
Mike,19,14,-44,62,194,-2,0,1,33
Mike,19,15,-57,59,257,-4,1,-2,58
Mike,19,16,-44,42,269,-2,1,-1,52
Mike,19,17,-49,45,107,2,-1,0,57
Mike,19,18,-40,65,356,3,-1,-1,48
Mike,19,19,-48,84,182,1,1,-1,45
Mike,19,20,-51,48,128,-3,-1,-1,36
Mike,19,21,-40,71,198,-3,-1,1,42
Mike,19,22,-60,71,188,4,1,0,60
Mike,19,23,-41,48,187,1,1,0,47
Mike,19,24,-49,87,368,1,1,-2,60
Mike,19,25,-58,87,265,5,-1,-2,45
Mike,19,26,-59,86,140,5,0,0,50
Mike,19,27,-49,72,298,5,0,-2,42
Mike,19,28,-55,46,361,4,0,-2,43
Mike,19,29,-59,42,384,0,-1,-2,57
Mike,19,30,-51,56,226,5,-1,-1,59
Mike,19,31,-44,66,128,-1,1,0,39
Mike,19,32,-54,54,123,-2,-1,2,40
Mike,19,33,-45,67,324,3,-1,-1,43
Mike,19,34,-43,58,154,-3,1,1,37
Mike,19,35,-44,81,170,4,1,1,60
Mike,19,36,-42,66,134,-2,-1,-2,45
Mike,19,37,-53,74,164,2,0,-2,55
Mike,19,38,-58,85,166,-2,-1,-2,33
Mike,19,39,-41,81,245,-2,0,-2,30
Mike,19,40,-57,86,161,-4,1,-2,55
Mike,19,41,-46,82,176,-1,0,2,51
Mike,19,42,-58,46,201,-3,0,0,41
Mike,19,43,-52,52,103,-2,1,1,46
Mike,19,44,-49,51,375,-5,-1,2,35
Mike,19,45,-40,86,148,1,0,-2,37
Mike,19,46,-60,63,366,-2,0,0,42
Mike,19,47,-42,62,244,0,0,2,53
Mike,19,48,-45,46,278,3,1,-1,57
Mike,19,49,-40,76,282,1,1,1,38
Mike,19,50,-54,77,312,2,-1,-1,56
Mike,19,51,-47,51,310,-2,0,-2,48
Mike,19,52,-55,65,148,-3,0,2,53
Mike,19,53,-49,81,117,-3,-1,1,37
Mike,19,54,-58,51,394,-3,1,-1,52
Mike,19,55,-48,62,105,5,1,-1,32
Mike,19,56,-54,78,310,1,0,2,54
Mike,19,57,-40,83,329,-2,0,-2,54
Mike,19,58,-55,44,171,4,0,0,44
Mike,19,59,-43,90,330,5,1,-2,45
Mike,19,60,-52,47,286,-1,1,2,58
Mike,20,1,-59,84,271,3,1,-2,49
Mike,20,2,-41,75,249,-3,-1,0,35
Mike,20,3,-49,62,268,5,0,1,37
Mike,20,4,-55,53,120,-1,-1,-1,54
Mike,20,5,-44,86,235,1,1,2,54
Mike,20,6,-45,77,362,4,-1,2,54
Mike,20,7,-57,68,354,5,-1,2,44
Mike,20,8,-52,50,183,5,1,-2,48
Mike,20,9,-56,83,150,0,-1,0,56
Mike,20,10,-42,45,344,1,1,1,42
Mike,20,11,-46,68,241,2,1,2,40
Mike,20,12,-49,59,187,-1,-1,-1,56
Mike,20,13,-59,76,188,2,1,1,32
Mike,20,14,-59,43,205,5,0,-1,45
